GNL_STR_NBR_ID,GNL_ITEM_ID,WEEK_END_DATE,YEAR,WEEK,AVG_WEEKLY_PRCP,AVG_WEEKLY_TEMP,POS_QTY,POS_AMT
859,37239,15-08-2014,2014,33,0.000285,80.301428,24,70.56
859,37239,22-08-2014,2014,34,0.007,83.427142,96,282.24
859,37239,29-08-2014,2014,35,0.001,82.570714,27,79.38
859,37239,05-09-2014,2014,36,0.003142,81.640714,0,0
859,37239,12-09-2014,2014,37,0.003428,81.377142,0,0
859,37239,19-09-2014,2014,38,0.007428,79.07,0,0
859,37239,26-09-2014,2014,39,0.008285,78.491428,0,0
859,37239,03-10-2014,2014,40,0.004857,78.998571,0,0
859,37239,10-10-2014,2014,41,0,75.886428,0,0
859,37239,17-10-2014,2014,42,0.001285,74.118571,0,0
859,37239,24-10-2014,2014,43,0,72.455,0,0
859,37239,31-10-2014,2014,44,0,68.345,0,0
859,37239,07-11-2014,2014,45,0.000714,65.267857,0,0
859,37239,14-11-2014,2014,46,0.001142,64.404285,0,0
859,37239,21-11-2014,2014,47,0.002142,61.637142,0,0
859,37239,28-11-2014,2014,48,0.004571,65.306428,0,0
859,37239,05-12-2014,2014,49,0.000714,68.975,0,0
859,37239,12-12-2014,2014,50,0.001,55.435,0,0
859,37239,19-12-2014,2014,51,0,58.839285,0,0
859,37239,26-12-2014,2014,52,0.002714,68.457857,0,0
859,37239,02-01-2015,2015,1,0.000428,68.208571,0,0
859,37239,09-01-2015,2015,2,0,59.669285,0,0
859,37239,16-01-2015,2015,3,0.006142,62.293571,0,0
859,37239,23-01-2015,2015,4,0.001285,62.277142,0,0
859,37239,30-01-2015,2015,5,0.000142,55.657857,0,0
859,37239,06-02-2015,2015,6,0.001285,59.117857,0,0
859,37239,13-02-2015,2015,7,0.001428,56.407857,0,0
859,37239,20-02-2015,2015,8,0.003285,54.892857,0,0
859,37239,27-02-2015,2015,9,0.002571,64.358571,0,0
859,37239,06-03-2015,2015,10,0.000857,69.513571,0,0
859,37239,13-03-2015,2015,11,0.000714,74.134285,0,0
859,37239,20-03-2015,2015,12,0,74.773571,34,112.2
859,37239,27-03-2015,2015,13,0.002428,70.973571,15,49.5
859,37239,03-04-2015,2015,14,0,68.34,79,260.7
859,37239,10-04-2015,2015,15,0.003285,76.050714,23,75.9
859,37239,17-04-2015,2015,16,0.007,77.455,113,372.9
859,37239,24-04-2015,2015,17,0.002571,77.107142,200,660
859,37239,01-05-2015,2015,18,0.001142,75.199285,78,257.4
859,37239,08-05-2015,2015,19,0.001142,74.287857,308,1016.4
859,37239,15-05-2015,2015,20,0.000857,79.506428,83,273.9
859,37239,22-05-2015,2015,21,0.001142,80.512142,156,514.8
859,37239,29-05-2015,2015,22,0.003,79.729285,406,1339.8
859,37239,05-06-2015,2015,23,0.010857,78.402857,445,1466.85
859,37239,12-06-2015,2015,24,0.002571,79.998571,317,1046.1
859,37239,19-06-2015,2015,25,0.002,83.165,232,765.6
859,37239,26-06-2015,2015,26,0.011428,82.385,255,841.5
859,37239,03-07-2015,2015,27,0.001,82.022142,291,960.3
859,37239,10-07-2015,2015,28,0.003,82.189285,111,366.3
859,37239,17-07-2015,2015,29,0.001428,81.198571,212,699.6
859,37239,24-07-2015,2015,30,0.004857,80.794285,1,3.3
859,37239,31-07-2015,2015,31,0.005428,80.091428,0,0
859,37239,07-08-2015,2015,32,0.002714,80.220714,0,0
859,37239,14-08-2015,2015,33,0.008285,81.7,0,0
859,37239,21-08-2015,2015,34,0.007285,83.035,0,0
859,37239,28-08-2015,2015,35,0.003285,81.798571,0,0
859,37239,04-09-2015,2015,36,0.01,82.034285,0,0
859,37239,11-09-2015,2015,37,0.006142,81.457857,0,0
859,37239,18-09-2015,2015,38,0.001,79.063571,0,0
859,37239,25-09-2015,2015,39,0.010142,80.473571,0,0
859,37239,02-10-2015,2015,40,0.001,80.27,0,0
859,37239,09-10-2015,2015,41,0.000857,75.772142,0,0
859,37239,16-10-2015,2015,42,0,75.332142,0,0
859,37239,23-10-2015,2015,43,0,74.304285,0,0
859,37239,30-10-2015,2015,44,0.000428,75.303571,0,0
859,37239,06-11-2015,2015,45,0.000714,79.125,0,0
859,37239,13-11-2015,2015,46,0.001,75.387857,0,0
859,37239,20-11-2015,2015,47,0.006142,74.852142,0,0
859,37239,27-11-2015,2015,48,0.000857,67.482142,0,0
859,37239,04-12-2015,2015,49,0.000285,70.518571,0,0
859,37239,11-12-2015,2015,50,0,68.262142,0,0
859,37239,18-12-2015,2015,51,0.000714,70.268571,0,0
859,37239,25-12-2015,2015,52,0.000714,72.906428,0,0
859,37239,01-01-2016,2016,1,0.000142,74.356428,0,0
859,37239,08-01-2016,2016,2,0.003428,60.535714,0,0
859,37239,15-01-2016,2016,3,0.005285,58.526428,0,0
859,37239,22-01-2016,2016,4,0.006571,54.251428,0,0
859,37239,29-01-2016,2016,5,0.008857,57.096428,0,0
859,37239,05-02-2016,2016,6,0.002714,64.817142,0,0
859,37239,12-02-2016,2016,7,0,53.267142,0,0
859,37239,19-02-2016,2016,8,0.002142,62.277857,0,0
859,37239,26-02-2016,2016,9,0.003142,61.445714,0,0
859,37239,04-03-2016,2016,10,0.000142,64.457142,0,0
859,37239,11-03-2016,2016,11,0,68.702142,29,98.02
859,37239,18-03-2016,2016,12,0.000857,74.669285,18,60.84
859,37239,25-03-2016,2016,13,0.017714,66.307857,66,223.08
859,37239,01-04-2016,2016,14,0.002857,74.792857,10,33.8
859,37239,08-04-2016,2016,15,0.000571,68.588571,225,760.5
859,37239,15-04-2016,2016,16,0.000428,70.795714,96,324.48
859,37239,22-04-2016,2016,17,0,71.361428,131,442.78
859,37239,29-04-2016,2016,18,0.000428,75.721428,319,1078.22
859,37239,06-05-2016,2016,19,0.008,72.342857,136,459.68
859,37239,13-05-2016,2016,20,0,74.845,306,1024.6
859,37239,20-05-2016,2016,21,0.003857,77.573571,288,720
859,37239,27-05-2016,2016,22,0.000285,77.128571,207,517.5
859,37239,03-06-2016,2016,23,0.008142,80.407142,539,1347.5
859,37239,10-06-2016,2016,24,0.010714,79.837142,348,870
859,37239,17-06-2016,2016,25,0.005428,82.639285,373,932.5
859,37239,24-06-2016,2016,26,0.001857,80.864285,269,672.5
859,37239,01-07-2016,2016,27,0.020714,81.344285,165,412.5
859,37239,08-07-2016,2016,28,0.000285,84.620714,99,212.5
859,37239,15-07-2016,2016,29,0.003428,83.728571,557,1114
859,37239,22-07-2016,2016,30,0.005285,82.357142,253,592.94
859,37239,29-07-2016,2016,31,0,35.373571,73,246.74
859,37239,05-08-2016,2016,32,0.001571,70.397857,97,304.1
859,37239,12-08-2016,2016,33,0.014,81.093571,61,152.5
859,37239,19-08-2016,2016,34,0.008571,83.412857,261,652.5
859,37239,26-08-2016,2016,35,0.011,84.685714,0,0
859,37239,02-09-2016,2016,36,0.001428,81.772142,0,0
859,37239,09-09-2016,2016,37,0,80.444285,0,0
859,37239,16-09-2016,2016,38,0,79.636428,0,0
859,37239,23-09-2016,2016,39,0,78.661428,0,0
859,37239,30-09-2016,2016,40,0,77.53,0,0
859,37239,07-10-2016,2016,41,0,76.255714,0,0
859,37239,14-10-2016,2016,42,0,74.855714,0,0
859,37239,21-10-2016,2016,43,0,73.356428,0,0
859,37239,28-10-2016,2016,44,0,72.3575,0,0
